"freelancer_id","name","gender","age","country","language","primary_skill","years_of_experience","hourly_rate_usd","rating","is_active","client_satisfaction"
"FL250876","Mary Ward","F","40.0","Spain","Spanish","AI","9","40","1.2","Y","0.67"
"FL250641","David Watson","M","41.0","Japan","Japanese","AI","7","40","1.8","N","0.70"
"FL250945","Robert Salazar","M","56.0","Egypt","Arabic","DevOps","22","30","2.6","N","0.95"
"FL250946","Hector Greer","M","24.0","Turkey","Turkish","Graphic Design","2","40","1.6","N","1.00"
"FL250947","Thomas Jackson","M","41.0","Mexico","Spanish","AI","1","75","0","Y","0.94"
"FL250948","Tina Clark","F","38.0","Turkey","Turkish","Mobile Apps","8","30","4","Y","0.92"
"FL250949","Heather Brown","F","28.0","France","French","DevOps","8","50","2.5","Y","0.95"
"FL250950","John Weaver","M","25.0","Brazil","Portuguese","DevOps","7","20","3.8",NULL,"0.97"
"FL250951","Bradley Harris","M","41.0","United Kingdom","English","DevOps","8","50","4.8","N","0.75"
"FL250952","Cassandra Macdonald","F","45.0","Mexico","Spanish","Data Analysis","6","40","2","Y","0.78"
"FL250953","Matthew White","M","47.0","Turkey","Turkish","DevOps","16","100","3.3","N","0.65"
"FL250954","Miss Kimberly Marshall","F","59.0","United Kingdom","English","Data Analysis","40","40","2.5","Y","0.70"
"FL250955","Laura Thompson","F","25.0","Canada","English","Blockchain Development","6","100","2.6","Y","0.78"
"FL250956","Nathan Soto","M","27.0","Australia","English","Web Development","3","50","2.6","Y","0.96"
"FL250957","Rhonda Hines","F","57.0","Australia","English","AI","5","100","0","Y","0.80"
"FL250917","Margaret Garcia","F","45.0","Canada","English","Web Development","22","40","3.7","Y","0.99"
"FL250918","Brittany Barker","F","36.0","Italy","Italian","Graphic Design","14","30","1.9","N","0.62"
"FL250919","Paul Campbell","M","46.0","South Africa","Afrikaans","UI/UX Design","6","30","1.5","N",NULL
"FL250920","Amy Morrow","F","53.0","Turkey","Turkish","Graphic Design","14","30","0","N","0.83"
